primary:nasdaq,primary_leverage:002,primary_ratio:0.43,rebalance_window:0.39,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:002,primary_ratio:0.73,rebalance_window:0.42,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:001,primary_ratio:0.77,rebalance_window:0.39,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.5,rebalance_window:0.49,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:002,primary_ratio:0.48,rebalance_window:0.4,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.65,rebalance_window:0.45,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.7,rebalance_window:0.38,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.95,rebalance_window:0.38,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.98,rebalance_window:0.43,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.93,rebalance_window:0.49,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.56,rebalance_window:0.49,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:002,primary_ratio:0.73,rebalance_window:0.35,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:001,primary_ratio:0.71,rebalance_window:0.46,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:002,primary_ratio:0.78,rebalance_window:0.37,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:003,primary_ratio:0.88,rebalance_window:0.42,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:002,primary_ratio:0.42,rebalance_window:0.37,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:001,primary_ratio:0.59,rebalance_window:0.48,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
primary:nasdaq,primary_leverage:001,primary_ratio:0.57,rebalance_window:0.5,rebalancing_function:windowed_rebalancing,secondary:cash,nan,nan,0,0.0
